time	V(n001)
0.000000000000000e+000	9.999500e+001
5.000000058430487e-008	1.015812e+002
2.000000023372195e-007	1.063242e+002
4.000000046744390e-007	1.125545e+002
8.000000093488779e-007	1.243328e+002
1.485826794408586e-006	1.406473e+002
1.804169006605651e-006	1.458565e+002
2.031014016353403e-006	1.484755e+002
2.198957466954569e-006	1.497915e+002
2.370849080215419e-006	1.505727e+002
2.601907966067946e-006	1.507074e+002
2.815894885049017e-006	1.498954e+002
3.163076844509553e-006	1.467093e+002
3.717751905607709e-006	1.372254e+002
4.560387069319846e-006	1.150626e+002
5.672481095136627e-006	8.127406e+001
6.285108153986012e-006	6.584414e+001
6.667669961139138e-006	5.877414e+001
6.932321704313780e-006	5.532139e+001
7.125354864974568e-006	5.361397e+001
7.280747957796165e-006	5.275758e+001
7.447393674949459e-006	5.236351e+001
7.630441185446691e-006	5.256146e+001
7.862308074646740e-006	5.375629e+001
8.237991864056233e-006	5.786367e+001
8.835246919984114e-006	6.935895e+001
9.729195731912870e-006	9.458331e+001
1.073518163341529e-005	1.256475e+002
1.132208466490032e-005	1.404668e+002
1.169240363823435e-005	1.473625e+002
1.195005531953149e-005	1.507878e+002
1.213852371544357e-005	1.525180e+002
1.229713052277754e-005	1.534461e+002
1.245104639246241e-005	1.538763e+002
1.263180000144514e-005	1.537852e+002
1.286451776410532e-005	1.527238e+002
1.324155390481163e-005	1.488179e+002
1.384080960661261e-005	1.376175e+002
1.473708944964443e-005	1.128396e+002
1.574022944020735e-005	8.250716e+001
1.632507986004406e-005	6.813303e+001
1.669441542687448e-005	6.150148e+001
1.695150074901085e-005	5.825251e+001
1.713959821863980e-005	5.664782e+001
1.729846681122076e-005	5.582131e+001
1.745134453948385e-005	5.549211e+001
1.763191090523808e-005	5.569676e+001
1.786469811180324e-005	5.690471e+001
1.824184460776126e-005	6.104919e+001
1.884126348578386e-005	7.263074e+001
1.973773312395559e-005	9.797789e+001
2.074064027157324e-005	1.289281e+002
2.132532375757106e-005	1.436607e+002
2.169457930055593e-005	1.505200e+002
2.195161850873628e-005	1.539280e+002
2.213968576633240e-005	1.556493e+002
2.229857568562448e-005	1.565747e+002
2.245136883260789e-005	1.569987e+002
2.263191994167073e-005	1.569066e+002
2.286471280650231e-005	1.558436e+002
2.324186829405856e-005	1.519339e+002
2.384130046691867e-005	1.407251e+002
2.473778556653078e-005	1.159350e+002
2.574067373840614e-005	8.560910e+001
2.632534362659255e-005	7.124031e+001
2.669459265082630e-005	6.461061e+001
2.695162810237984e-005	6.136229e+001
2.713969289871316e-005	5.975776e+001
2.729858455544180e-005	5.893103e+001
2.745137081173870e-005	5.860181e+001
2.763192067785743e-005	5.880600e+001
2.786471400366067e-005	6.001339e+001
2.824187022375009e-005	6.415705e+001
2.884130347971876e-005	7.573743e+001
2.973778983893451e-005	1.010827e+002
3.074067646485560e-005	1.320291e+002
3.132534524527175e-005	1.467592e+002
3.169459373844165e-005	1.536171e+002
3.195162888395245e-005	1.570241e+002
3.213969347977254e-005	1.587447e+002
3.229858527804620e-005	1.596696e+002
3.245137097297418e-005	1.600931e+002
3.263192073783296e-005	1.600003e+002
3.286471410119056e-005	1.589365e+002
3.324187038095784e-005	1.550254e+002
3.384130372516497e-005	1.438145e+002
3.473779018699775e-005	1.190212e+002
3.574067668697315e-005	8.869154e+001
3.632534537714185e-005	7.432055e+001
3.669459382704720e-005	6.768944e+001
3.695162894762539e-005	6.444011e+001
3.713969352711014e-005	6.283485e+001
3.729858533691515e-005	6.200748e+001
3.745137098610968e-005	6.167767e+001
3.763192074271903e-005	6.188113e+001
3.786471410913610e-005	6.308758e+001
3.824187039376521e-005	6.722971e+001
3.884130374516093e-005	7.880762e+001
3.973779021535369e-005	1.041491e+002
4.074067670506857e-005	1.350911e+002
4.132534538788502e-005	1.498187e+002
4.169459383426570e-005	1.566749e+002
4.195162895281270e-005	1.600807e+002
4.213969353096664e-005	1.618005e+002
4.229858534171108e-005	1.627246e+002
4.245137098717980e-005	1.631474e+002
4.263192074311708e-005	1.630538e+002
4.286471410978341e-005	1.619890e+002
4.324187039480860e-005	1.580761e+002
4.384130374678996e-005	1.468623e+002
4.473779021766379e-005	1.220647e+002
4.574067670654278e-005	9.173011e+001
4.632534538876024e-005	7.735618e+001
4.669459383485378e-005	7.072319e+001
4.695162895323529e-005	6.747255e+001
4.713969353128081e-005	6.586631e+001
4.729858534210180e-005	6.503813e+001
4.745137098726697e-005	6.470752e+001
4.763192074314951e-005	6.491004e+001
4.786471410983613e-005	6.611527e+001
4.824187039489358e-005	7.025541e+001
4.884130374692264e-005	8.183012e+001
4.973779021785194e-005	1.071668e+002
5.074067670666284e-005	1.381032e+002
5.132534538883152e-005	1.528275e+002
5.169459383490167e-005	1.596816e+002
5.195162895326971e-005	1.630860e+002
5.213969353130640e-005	1.648047e+002
5.229858534213361e-005	1.657279e+002
5.245137098727407e-005	1.661498e+002
5.263192074315215e-005	1.660551e+002
5.286471410984042e-005	1.649889e+002
5.324187039490050e-005	1.610738e+002
5.384130374693345e-005	1.498565e+002
5.473779021786728e-005	1.250535e+002
5.574067670667262e-005	9.471275e+001
5.632534538883733e-005	8.033518e+001
5.669459383490558e-005	7.369988e+001
5.695162895327251e-005	7.044761e+001
5.713969353130848e-005	6.884019e+001
5.729858534213620e-005	6.801099e+001
5.745137098727466e-005	6.767941e+001
5.763192074315237e-005	6.788078e+001
5.786471410984079e-005	6.908451e+001
5.824187039490110e-005	7.322221e+001
5.884130374693438e-005	8.479302e+001
5.973779021786859e-005	1.101238e+002
6.074067670667347e-005	1.410535e+002
6.132534538883782e-005	1.557738e+002
6.169459383490591e-005	1.626253e+002
6.195162895327275e-005	1.660279e+002
6.213969353130866e-005	1.677453e+002
6.229858534213642e-005	1.686674e+002
