time	V(n010)
0.000000000000000e+000	6.005067e+000
2.000000000682012e-010	6.005198e+000
5.999999999877631e-010	6.005459e+000
1.400000000043727e-009	6.005986e+000
2.999999999938816e-009	6.007060e+000
6.199999999945832e-009	6.009254e+000
8.087283336717308e-009	6.010583e+000
1.042703982531701e-008	6.012270e+000
1.166017638779687e-008	6.013175e+000
1.242837303558342e-008	6.013746e+000
1.294935259780854e-008	6.014136e+000
1.343237579173352e-008	6.014500e+000
1.385744326123754e-008	6.014822e+000
1.428530121516496e-008	6.015147e+000
1.476124096978608e-008	6.015511e+000
1.526478623776854e-008	6.015898e+000
1.577641783531703e-008	6.016293e+000
1.597012874135668e-008	6.016442e+000
1.608253589807304e-008	6.016530e+000
1.618923898237534e-008	6.016613e+000
1.629680204369780e-008	6.016696e+000
1.651192816634270e-008	6.016864e+000
1.686027148927946e-008	6.017135e+000
1.713197767634275e-008	6.017346e+000
1.738925719564632e-008	6.017546e+000
1.767837885997305e-008	6.017769e+000
1.802936413120189e-008	6.018039e+000
1.843237695180015e-008	6.018349e+000
1.882540072006139e-008	6.018650e+000
1.938678724825414e-008	6.019079e+000
1.988025225257289e-008	6.019456e+000
2.034383667342404e-008	6.019810e+000
2.082724705676151e-008	6.020178e+000
2.133735827456774e-008	6.020566e+000
2.183421180510826e-008	6.020943e+000
2.233609532791350e-008	6.021323e+000
2.283964100659175e-008	6.021705e+000
2.336492227299203e-008	6.022101e+000
2.390851577154830e-008	6.022512e+000
2.448753307440245e-008	6.022948e+000
2.511182682022467e-008	6.023418e+000
2.577389899313491e-008	6.023915e+000
2.647196597257290e-008	6.024438e+000
2.729693967737368e-008	6.025055e+000
2.834635339041963e-008	6.025838e+000
2.972966736875839e-008	6.026865e+000
3.166137269136789e-008	6.028294e+000
3.462343434201300e-008	6.030465e+000
4.006386669663277e-008	6.034391e+000
5.094473140587232e-008	6.042026e+000
7.020434629250935e-008	6.054812e+000
1.072295141069969e-007	6.076998e+000
1.658177982133673e-007	6.105505e+000
2.751197758364861e-007	6.142282e+000
3.762914754419384e-007	6.156376e+000
5.273975001254296e-007	6.141938e+000
6.931538967212825e-007	6.096371e+000
6.958292493055001e-007	6.095279e+000
7.011799544741522e-007	6.092699e+000
7.332841854854142e-007	6.076096e+000
7.760898268339804e-007	6.052319e+000
7.786530913829470e-007	6.050801e+000
8.159512696122740e-007	6.027472e+000
8.175019218757684e-007	6.026458e+000
8.206032264027573e-007	6.024417e+000
8.268058354569518e-007	6.020306e+000
8.283564877204462e-007	6.019270e+000
8.304455545869900e-007	6.017868e+000
8.315405713994577e-007	6.017130e+000
8.323720760421583e-007	6.016570e+000
8.332286219824535e-007	6.015991e+000
8.340201961209385e-007	6.015455e+000
8.347483501070473e-007	6.014963e+000
8.354388616235026e-007	6.014495e+000
8.361706902990703e-007	6.014001e+000
8.368531832199724e-007	6.013542e+000
8.375908416514890e-007	6.013049e+000
8.384070143449378e-007	6.012509e+000
8.392374418100118e-007	6.011967e+000
8.394006666978277e-007	6.011862e+000
8.395657787982520e-007	6.011755e+000
8.396184921653435e-007	6.011722e+000
