time	V(n001)
0.000000000000000e+000	0.000000e+000
7.142857099446638e-010	1.685019e-001
1.428571419889328e-009	3.369067e-001
2.142857129833992e-009	5.052143e-001
2.857142839778655e-009	6.734248e-001
3.571428549723319e-009	8.415381e-001
4.285714259667983e-009	1.009554e+000
4.999999969612645e-009	1.177473e+000
9.999999939225290e-009	2.344505e+000
1.999999987845058e-008	4.606039e+000
3.999999975690116e-008	8.565835e+000
5.371556811511799e-008	1.061421e+001
6.307620103960687e-008	1.161405e+001
6.985741627721034e-008	1.211475e+001
7.491994070215241e-008	1.236017e+001
8.099521944567636e-008	1.250632e+001
8.746382418973478e-008	1.248212e+001
9.505646691122200e-008	1.221784e+001
1.073625289181856e-007	1.126429e+001
1.269495510701356e-007	8.537614e+000
1.563698317357608e-007	2.447652e+000
1.940772798410160e-007	-6.128895e+000
2.124732989129957e-007	-9.450452e+000
2.242527749062538e-007	-1.100316e+001
2.325131762302413e-007	-1.177170e+001
2.385795080201806e-007	-1.215466e+001
2.440192683711996e-007	-1.236254e+001
2.494957480333993e-007	-1.244003e+001
2.548125741175798e-007	-1.238795e+001
2.628322580441220e-007	-1.207358e+001
2.758166119579107e-007	-1.098338e+001
2.964049865075812e-007	-7.944974e+000
3.269836449561833e-007	-1.415427e+000
3.595252413761579e-007	6.008065e+000
3.784074885244268e-007	9.476620e+000
3.904234723298999e-007	1.109299e+001
3.988220447258608e-007	1.189289e+001
4.049796432680753e-007	1.229272e+001
4.103546786363415e-007	1.250769e+001
4.155739448563826e-007	1.259464e+001
4.212604736730353e-007	1.255180e+001
4.291432420691405e-007	1.225641e+001
4.419104419934068e-007	1.121495e+001
4.621797725899375e-007	8.283810e+000
4.923955050728883e-007	1.901559e+000
5.254087376083191e-007	-5.636446e+000
5.446062230844710e-007	-9.185996e+000
5.567744491145884e-007	-1.083432e+001
5.652613875291806e-007	-1.164796e+001
5.714771299697923e-007	-1.205389e+001
5.768110208471688e-007	-1.226913e+001
5.818669325527593e-007	-1.235751e+001
5.877881820165807e-007	-1.231685e+001
5.955839576565517e-007	-1.202728e+001
6.082130263021780e-007	-1.100657e+001
6.282786519099626e-007	-8.127621e+000
6.582596200289574e-007	-1.817398e+000
6.915681071516931e-007	5.816832e+000
7.109709137545690e-007	9.434216e+000
7.232378674024159e-007	1.111283e+001
7.317818718673517e-007	1.194200e+001
7.380350699632243e-007	1.235671e+001
7.433424934163591e-007	1.257622e+001
7.483915995552927e-007	1.266995e+001
7.544020325514965e-007	1.263411e+001
7.621647383880590e-007	1.235178e+001
7.747412657201116e-007	1.134710e+001
7.947292542392849e-007	8.500964e+000
8.246201326484486e-007	2.237959e+000
8.580398639206984e-007	-5.410752e+000
8.775217885607124e-007	-9.041639e+000
8.898266990494999e-007	-1.072392e+001
8.983925935446822e-007	-1.155349e+001
9.046601398959899e-007	-1.196750e+001
9.099574321764563e-007	-1.218517e+001
9.150467231820443e-007	-1.227797e+001
9.210644055272131e-007	-1.223946e+001
9.288244228311121e-007	-1.195376e+001
9.413966778650513e-007	-1.094397e+001
9.613783497795801e-007	-8.090322e+000
9.912618835973789e-007	-1.815936e+000
1.024690633641238e-006	5.850967e+000
1.044179016792072e-006	9.492886e+000
1.056487023668502e-006	1.118173e+001
1.065054702665383e-006	1.201570e+001
1.071323418229661e-006	1.243285e+001
1.076619885129812e-006	1.265307e+001
1.081712449632245e-006	1.274838e+001
1.087730722457294e-006	1.271272e+001
1.095490520769732e-006	1.243071e+001
1.108062427803343e-006	1.142691e+001
1.128043585174019e-006	8.582825e+000
1.157926520611145e-006	2.322737e+000
1.191356005099724e-006	-5.328615e+000
1.210844914496692e-006	-8.961503e+000
1.223153173656249e-006	-1.064462e+001
1.231720998040215e-006	-1.147458e+001
1.237989808859569e-006	-1.188878e+001
1.243286208517747e-006	-1.210652e+001
1.248379039702724e-006	-1.219944e+001
1.254397360632115e-006	-1.216094e+001
1.262157141104061e-006	-1.187527e+001
1.274729019787232e-006	-1.086556e+001
1.294710135239553e-006	-8.012076e+000
1.324593021927738e-006	-1.737929e+000
1.358022566247914e-006	5.929187e+000
1.377511518517534e-006	9.571268e+000
1.389819798230209e-006	1.126018e+001
1.398387634458583e-006	1.209418e+001
1.404656453038165e-006	1.251135e+001
1.409952847218291e-006	1.273157e+001
1.415045700129280e-006	1.282690e+001
1.421064024977618e-006	1.279123e+001
1.428823803996141e-006	1.250922e+001
1.441395680369668e-006	1.150543e+001
1.461376792406998e-006	8.661360e+000
1.491259675123715e-006	2.401290e+000
1.524689224318223e-006	-5.250081e+000
1.544178180080585e-006	-8.882983e+000
1.556486461467678e-006	-1.056610e+001
1.565054298660989e-006	-1.139606e+001
