time	V(n001)
0.000000000000000e+000	1.353553e+002
1.043650696491705e-005	1.376027e+002
3.130952089477890e-005	1.416035e+002
7.305554875450260e-005	1.474064e+002
9.112323986129600e-005	1.489288e+002
1.075358231066026e-004	1.497668e+002
1.243363367061656e-004	1.500777e+002
1.397533274433704e-004	1.498731e+002
1.640098464419093e-004	1.486086e+002
2.032757713590905e-004	1.442014e+002
2.654989704292954e-004	1.319171e+002
3.577497560148801e-004	1.056335e+002
4.546863160287129e-004	7.628437e+001
5.108882738961429e-004	6.263143e+001
5.467205480282344e-004	5.627028e+001
5.717906108664850e-004	5.312758e+001
5.901805434160856e-004	5.156256e+001
6.063643600770219e-004	5.072327e+001
6.222553808587217e-004	5.039831e+001
6.389797904521044e-004	5.059414e+001
6.627522610984926e-004	5.181636e+001
7.012508890423264e-004	5.606992e+001
7.623488222058827e-004	6.797031e+001
8.533276948231860e-004	9.374837e+001
9.519422220017060e-004	1.238392e+002
1.009245796832758e-003	1.379821e+002
1.045611222158405e-003	1.445640e+002
1.070991353161521e-003	1.478210e+002
1.089585546819094e-003	1.494513e+002
1.105624725393967e-003	1.503241e+002
1.120941330572223e-003	1.506875e+002
1.138491191391894e-003	1.505352e+002
1.161957808880121e-003	1.493874e+002
1.199970954420121e-003	1.453077e+002
1.260353742879500e-003	1.337732e+002
1.350511649736236e-003	1.085105e+002
1.450169174105620e-003	7.816304e+001
1.508189173766023e-003	6.381928e+001
1.544899538400119e-003	5.716904e+001
1.570479302972827e-003	5.389033e+001
1.589204626680163e-003	5.225615e+001
1.605151104443342e-003	5.139518e+001
1.620202388788627e-003	5.103896e+001
1.638216360312750e-003	5.119980e+001
1.661510903838065e-003	5.235197e+001
1.699250697054372e-003	5.640894e+001
1.759229758739461e-003	6.785639e+001
1.848919942108174e-003	9.300243e+001
1.949157571401655e-003	1.236850e+002
2.007587917003367e-003	1.382582e+002
2.044495251040224e-003	1.450198e+002
2.070188670867612e-003	1.483612e+002
2.088988516201512e-003	1.500343e+002
2.104882365270011e-003	1.509198e+002
2.120142416232068e-003	1.513049e+002
2.138194052290904e-003	1.511677e+002
2.161474627491028e-003	1.500466e+002
2.199192224151242e-003	1.460424e+002
2.259138469406646e-003	1.346828e+002
2.348790500669745e-003	1.096672e+002
2.449074995762912e-003	7.909251e+001
2.507538887786959e-003	6.457925e+001
2.544462305598849e-003	5.785823e+001
2.570164995192054e-003	5.454630e+001
2.588970914275124e-003	5.289524e+001
2.604860475649118e-003	5.202916e+001
2.620137531922390e-003	5.166219e+001
2.638192235452780e-003	5.182171e+001
2.661471673019722e-003	5.297157e+001
2.699187461863567e-003	5.702220e+001
2.759131034138912e-003	6.845507e+001
2.848779956934971e-003	9.358034e+001
2.949068267433519e-003	1.242807e+002
3.007534893181146e-003	1.388674e+002
3.044459621548562e-003	1.456345e+002
3.070163066398457e-003	1.489785e+002
3.088969480313591e-003	1.506529e+002
3.104858692377865e-003	1.515386e+002
3.120137134018819e-003	1.519246e+002
3.138192087442732e-003	1.517874e+002
3.161471432331503e-003	1.506663e+002
3.199187073899878e-003	1.466623e+002
