time	V(n001)
0.000000000000000e+000	0.000000e+000
4.681142724751098e-006	1.472314e+000
9.362285449502195e-006	2.940585e+000
1.404342817425329e-005	4.404812e+000
1.872457089900439e-005	5.864995e+000
2.340571362375549e-005	7.321135e+000
2.808685634850659e-005	8.773231e+000
3.276799907325767e-005	1.022128e+001
4.909325814517010e-005	1.517892e+001
6.748098523616105e-005	2.056924e+001
8.665601664503049e-005	2.589719e+001
1.052406553077778e-004	3.070352e+001
1.236175536631533e-004	3.504515e+001
1.515656423142780e-004	4.073596e+001
1.885576647179370e-004	4.631779e+001
2.091960866022586e-004	4.836332e+001
2.220509537959205e-004	4.922855e+001
2.425564521502952e-004	4.994283e+001
2.620587174875928e-004	4.985406e+001
2.745703584312021e-004	4.940288e+001
2.944623526812014e-004	4.805913e+001
3.242413745614137e-004	4.465578e+001
3.577976345606809e-004	3.896104e+001
3.773780617741835e-004	3.482140e+001
3.983232352938483e-004	2.981230e+001
4.150324168267348e-004	2.544203e+001
4.288157689827405e-004	2.162392e+001
4.413827286991691e-004	1.800075e+001
4.613565707032996e-004	1.202066e+001
4.912309972516289e-004	2.753332e+000
5.246709199739234e-004	-7.719210e+000
5.441673134395092e-004	-1.369747e+001
5.650490520108661e-004	-1.987054e+001
5.817112839367620e-004	-2.455617e+001
5.954898156506713e-004	-2.822989e+001
6.080612912261323e-004	-3.139799e+001
6.280418106493772e-004	-3.602276e+001
6.579240041750617e-004	-4.186126e+001
6.913543992060312e-004	-4.664144e+001
7.108439610891567e-004	-4.849199e+001
7.317205376929104e-004	-4.966810e+001
7.483789447348954e-004	-4.999491e+001
7.621570836588787e-004	-4.985171e+001
7.747289271917284e-004	-4.939520e+001
7.947099906715022e-004	-4.803762e+001
8.245928169180875e-004	-4.460603e+001
8.580224354202779e-004	-3.891674e+001
8.775114408458316e-004	-3.479132e+001
8.983875969551209e-004	-2.979607e+001
9.150456923924574e-004	-2.543844e+001
9.288237993162074e-004	-2.162164e+001
9.413956728261150e-004	-1.799695e+001
9.613767806293567e-004	-1.201449e+001
9.912596584220354e-004	-2.744342e+000
1.024689213659998e-003	7.724888e+000
1.044178173752849e-003	1.370075e+001
1.065054295605667e-003	1.987206e+001
1.081712365657278e-003	2.455647e+001
1.095490469974037e-003	2.823006e+001
1.108062345926110e-003	3.139824e+001
1.128043457340287e-003	3.602312e+001
1.157926339332308e-003	4.186166e+001
1.191355889416263e-003	4.664161e+001
1.210844845815966e-003	4.849206e+001
1.231720964877988e-003	4.966811e+001
1.248379032861481e-003	4.999491e+001
1.262157136965855e-003	4.985171e+001
1.274729013116886e-003	4.939520e+001
1.294710124825237e-003	4.803761e+001
1.324593007159368e-003	4.460600e+001
1.358022556823438e-003	3.891672e+001
1.377511512922269e-003	3.479130e+001
1.398387631756931e-003	2.979606e+001
1.415045699571939e-003	2.543844e+001
1.428823803659011e-003	2.162164e+001
1.441395679826251e-003	1.799695e+001
1.461376791558568e-003	1.201449e+001
1.491259673920571e-003	2.744337e+000
1.524689223550433e-003	-7.724891e+000
1.544178179624752e-003	-1.370075e+001
1.565054298440892e-003	-1.987206e+001
1.581712366242174e-003	-2.455647e+001
1.595490470327836e-003	-2.823006e+001
1.608062346496396e-003	-3.139824e+001
1.628043458230666e-003	-3.602312e+001
1.657926340594938e-003	-4.186166e+001
1.691355890222014e-003	-4.664161e+001
1.710844846294337e-003	-4.849206e+001
1.731720965108967e-003	-4.966811e+001
1.748379032909131e-003	-4.999491e+001
1.762157136994678e-003	-4.985171e+001
1.774729013163346e-003	-4.939520e+001
1.794710124897774e-003	-4.803761e+001
1.824593007262232e-003	-4.460600e+001
1.858022556889081e-003	-3.891672e+001
1.877511512961240e-003	-3.479130e+001
1.898387631775749e-003	-2.979606e+001
1.915045699575821e-003	-2.543844e+001
1.928823803661359e-003	-2.162164e+001
1.941395679830036e-003	-1.799695e+001
1.961376791564478e-003	-1.201449e+001
1.991259673928952e-003	-2.744337e+000
2.024689223555781e-003	7.724891e+000
2.044178179627927e-003	1.370075e+001
2.065054298442425e-003	1.987206e+001
2.081712366242490e-003	2.455647e+001
2.095490470328027e-003	2.823006e+001
2.108062346496705e-003	3.139824e+001
2.128043458231148e-003	3.602312e+001
2.157926340595623e-003	4.186166e+001
2.191355890222451e-003	4.664161e+001
2.210844846294596e-003	4.849206e+001
2.231720965109092e-003	4.966811e+001
2.248379032909157e-003	4.999491e+001
2.262157136994694e-003	4.985171e+001
2.274729013163372e-003	4.939520e+001
2.294710124897816e-003	4.803761e+001
2.324593007262291e-003	4.460600e+001
2.358022556889119e-003	3.891672e+001
2.377511512961263e-003	3.479130e+001
2.398387631775759e-003	2.979606e+001
2.415045699575824e-003	2.543844e+001
2.428823803661361e-003	2.162164e+001
2.441395679830038e-003	1.799695e+001
2.461376791564481e-003	1.201449e+001
2.491259673928956e-003	2.744337e+000
2.524689223555784e-003	-7.724891e+000
2.544178179627929e-003	-1.370075e+001
2.565054298442426e-003	-1.987206e+001
2.581712366242490e-003	-2.455647e+001
2.595490470328028e-003	-2.823006e+001
2.608062346496705e-003	-3.139824e+001
2.628043458231149e-003	-3.602312e+001
2.657926340595624e-003	-4.186166e+001
2.691355890222452e-003	-4.664161e+001
2.710844846294597e-003	-4.849206e+001
2.731720965109093e-003	-4.966811e+001
2.748379032909157e-003	-4.999491e+001
2.762157136994694e-003	-4.985171e+001
2.774729013163371e-003	-4.939520e+001
2.794710124897815e-003	-4.803761e+001
2.824593007262289e-003	-4.460600e+001
2.858022556889117e-003	-3.891672e+001
2.877511512961262e-003	-3.479130e+001
2.898387631775758e-003	-2.979606e+001
2.915045699575824e-003	-2.543844e+001
2.928823803661361e-003	-2.162164e+001
2.941395679830039e-003	-1.799695e+001
2.961376791564482e-003	-1.201449e+001
2.991259673928957e-003	-2.744337e+000
3.024689223555785e-003	7.724891e+000
3.044178179627930e-003	1.370075e+001
3.065054298442426e-003	1.987206e+001
3.081712366242490e-003	2.455647e+001
3.095490470328027e-003	2.823006e+001
3.108062346496705e-003	3.139824e+001
3.128043458231148e-003	3.602312e+001
3.157926340595623e-003	4.186166e+001
3.191355890222451e-003	4.664161e+001
3.210844846294596e-003	4.849206e+001
3.231720965109092e-003	4.966811e+001
3.248379032909157e-003	4.999491e+001
3.262157136994694e-003	4.985171e+001
3.274729013163372e-003	4.939520e+001
3.294710124897815e-003	4.803761e+001
3.324593007262290e-003	4.460600e+001
3.358022556889118e-003	3.891672e+001
3.377511512961263e-003	3.479130e+001
3.398387631775759e-003	2.979606e+001
3.415045699575823e-003	2.543844e+001
3.428823803661360e-003	2.162164e+001
3.441395679830037e-003	1.799695e+001
3.461376791564480e-003	1.201449e+001
3.491259673928954e-003	2.744337e+000
3.524689223555783e-003	-7.724891e+000
3.544178179627928e-003	-1.370075e+001
3.565054298442425e-003	-1.987206e+001
3.581712366242490e-003	-2.455647e+001
3.595490470328027e-003	-2.823006e+001
3.608062346496705e-003	-3.139824e+001
3.628043458231148e-003	-3.602312e+001
3.657926340595623e-003	-4.186166e+001
3.691355890222451e-003	-4.664161e+001
3.710844846294596e-003	-4.849206e+001
3.731720965109093e-003	-4.966811e+001
3.748379032909157e-003	-4.999491e+001
3.762157136994694e-003	-4.985171e+001
3.774729013163371e-003	-4.939520e+001
3.794710124897815e-003	-4.803761e+001
3.824593007262289e-003	-4.460600e+001
3.858022556889117e-003	-3.891672e+001
3.877511512961262e-003	-3.479130e+001
3.898387631775759e-003	-2.979606e+001
3.915045699575823e-003	-2.543844e+001
3.928823803661361e-003	-2.162164e+001
3.941395679830039e-003	-1.799695e+001
3.961376791564483e-003	-1.201449e+001
3.991259673928959e-003	-2.744337e+000
4.024689223555786e-003	7.724891e+000
4.044178179627930e-003	1.370075e+001
4.065054298442426e-003	1.987206e+001
4.081712366242490e-003	2.455647e+001
4.095490470328027e-003	2.823006e+001
4.108062346496704e-003	3.139824e+001
4.128043458231146e-003	3.602312e+001
4.157926340595620e-003	4.186166e+001
4.191355890222449e-003	4.664161e+001
4.210844846294594e-003	4.849206e+001
4.231720965109092e-003	4.966811e+001
4.248379032909157e-003	4.999491e+001
4.262157136994693e-003	4.985171e+001
4.274729013163370e-003	4.939520e+001
4.294710124897813e-003	4.803761e+001
4.324593007262287e-003	4.460600e+001
4.358022556889116e-003	3.891672e+001
4.377511512961262e-003	3.479130e+001
4.398387631775759e-003	2.979606e+001
4.415045699575824e-003	2.543844e+001
4.428823803661360e-003	2.162164e+001
4.441395679830037e-003	1.799695e+001
4.461376791564479e-003	1.201449e+001
4.491259673928953e-003	2.744337e+000
4.524689223555782e-003	-7.724891e+000
4.544178179627927e-003	-1.370075e+001
4.565054298442425e-003	-1.987206e+001
4.581712366242490e-003	-2.455647e+001
4.595490470328026e-003	-2.823006e+001
4.608062346496703e-003	-3.139824e+001
4.628043458231146e-003	-3.602312e+001
4.657926340595619e-003	-4.186166e+001
4.691355890222448e-003	-4.664161e+001
4.710844846294594e-003	-4.849206e+001
4.731720965109092e-003	-4.966811e+001
4.748379032909157e-003	-4.999491e+001
4.762157136994694e-003	-4.985171e+001
4.774729013163372e-003	-4.939520e+001
4.794710124897815e-003	-4.803761e+001
4.824593007262290e-003	-4.460600e+001
