time	V(v_out)	V(n002)
0.000000000000000e+000	9.496228e+001	9.971924e+001
8.258272596252565e-008	9.519917e+001	9.995548e+001
2.477481778874685e-007	9.567284e+001	1.004278e+002
5.780790817374627e-007	9.661961e+001	1.013716e+002
1.177435312753501e-006	9.833556e+001	1.030818e+002
2.023437499999964e-006	1.007543e+002	1.054917e+002
2.523437499999922e-006	1.021816e+002	1.069132e+002
2.999999999999965e-006	1.035403e+002	1.082661e+002
3.001048561414852e-006	1.035433e+002	1.082691e+002
3.003145684244628e-006	1.035492e+002	1.082750e+002
3.005128946334014e-006	1.035549e+002	1.082807e+002
3.007044389805708e-006	1.035603e+002	1.082861e+002
3.010875276748988e-006	1.035713e+002	1.082970e+002
3.015091962610145e-006	1.035833e+002	1.083089e+002
3.021623965203369e-006	1.036019e+002	1.083275e+002
3.029169796890619e-006	1.036234e+002	1.083489e+002
3.040499454707245e-006	1.036556e+002	1.083810e+002
3.055003051305157e-006	1.036969e+002	1.084221e+002
3.078078111404281e-006	1.037626e+002	1.084875e+002
3.113373867701455e-006	1.038631e+002	1.085855e+002
3.183965380295912e-006	1.040601e+002	1.085858e+002
3.241627082805677e-006	1.042043e+002	1.079924e+002
3.292800918721977e-006	1.043072e+002	1.067851e+002
3.302532123283862e-006	1.043203e+002	1.064385e+002
3.321994532407523e-006	1.043360e+002	1.055851e+002
3.331855340370877e-006	1.043408e+002	1.050981e+002
3.337830215397039e-006	1.043420e+002	1.046605e+002
3.339879804039616e-006	1.043421e+002	1.042567e+002
3.341774787309309e-006	1.043421e+002	1.035655e+002
3.342744329048086e-006	1.043421e+002	1.031268e+002
3.343823817500056e-006	1.043421e+002	1.025940e+002
3.345982794404102e-006	1.043421e+002	1.014359e+002
3.349311486196575e-006	1.043421e+002	9.945662e+001
3.352777721210760e-006	1.043420e+002	9.707533e+001
3.359710191239130e-006	1.043420e+002	9.140437e+001
3.368690500652437e-006	1.043419e+002	8.303881e+001
3.369112445701650e-006	1.043419e+002	8.260410e+001
3.369956335800076e-006	1.043419e+002	8.167818e+001
3.375019676390739e-006	1.043419e+002	7.582498e+001
3.376496484062985e-006	1.043419e+002	7.402579e+001
3.376601970325288e-006	1.043419e+002	7.390619e+001
3.376812942849894e-006	1.043419e+002	7.371086e+001
3.376865685981046e-006	1.043419e+002	7.367977e+001
3.376971172243349e-006	1.043419e+002	7.364592e+001
3.377182144767956e-006	1.043419e+002	7.359114e+001
3.377604089817169e-006	1.043418e+002	7.349947e+001
3.378447979915595e-006	1.043417e+002	7.333965e+001
3.379626673686870e-006	1.043413e+002	7.313611e+001
3.381267430193442e-006	1.043406e+002	7.287174e+001
3.384001815879851e-006	1.043385e+002	7.246329e+001
3.389470587252669e-006	1.043320e+002	7.173135e+001
3.400408129998196e-006	1.043103e+002	7.047158e+001
3.422283215489359e-006	1.042439e+002	6.827901e+001
3.446705855081355e-006	1.041418e+002	6.598448e+001
3.463047316818748e-006	1.040570e+002	6.444352e+001
3.468326271558916e-006	1.040247e+002	6.392468e+001
3.473605226299083e-006	1.039906e+002	6.339591e+001
3.478884181039251e-006	1.039548e+002	6.285722e+001
3.484163135779419e-006	1.039171e+002	6.230860e+001
3.489442090519587e-006	1.038776e+002	6.175006e+001
3.494721045259755e-006	1.038363e+002	6.118159e+001
3.499999999999922e-006	1.037931e+002	6.060320e+001
3.502468434130198e-006	1.037721e+002	6.035095e+001
3.505759679637232e-006	1.037434e+002	6.005901e+001
3.512342170651299e-006	1.036844e+002	5.959706e+001
3.525507152679435e-006	1.035622e+002	5.897871e+001
3.551837116735706e-006	1.033104e+002	5.826941e+001
3.583310312675983e-006	1.030045e+002	5.779065e+001
