time	V(n001)
0.000000000000000e+000	4.402113e+002
6.575891178778326e-006	4.400432e+002
1.409119538312020e-005	4.394349e+002
2.912180379180396e-005	4.369117e+002
5.451388249394507e-005	4.289521e+002
9.364914581053152e-005	4.094403e+002
1.473188352469623e-004	3.764282e+002
1.827329501622454e-004	3.571069e+002
2.040970770281758e-004	3.483807e+002
2.185701669763507e-004	3.441454e+002
2.290161025216841e-004	3.420283e+002
2.367998431704044e-004	3.409893e+002
2.457870576190180e-004	3.403766e+002
2.559328910284042e-004	3.404493e+002
2.671571839573672e-004	3.414724e+002
2.853540352686923e-004	3.451756e+002
3.143440644873541e-004	3.558064e+002
3.580091340543989e-004	3.797551e+002
4.143737566399963e-004	4.141137e+002
4.426626796397160e-004	4.279555e+002
4.606699702031092e-004	4.344060e+002
4.732581178397421e-004	4.375975e+002
4.824881156012817e-004	4.391920e+002
4.905552016966908e-004	4.400491e+002
4.984021055028098e-004	4.403938e+002
5.069060247596957e-004	4.402190e+002
5.187397634494884e-004	4.390317e+002
5.379057774428930e-004	4.348531e+002
5.683321751212278e-004	4.231024e+002
6.136814523885481e-004	3.975359e+002
6.631685522566488e-004	3.673942e+002
6.919423910090594e-004	3.532053e+002
7.101839447610225e-004	3.466143e+002
7.229081073637511e-004	3.433598e+002
7.322276177744447e-004	3.417354e+002
7.402313553100393e-004	3.408730e+002
7.478267373921543e-004	3.405182e+002
7.566920688268086e-004	3.406797e+002
7.683918654517175e-004	3.418369e+002
7.873452109963541e-004	3.459203e+002
8.174580366528128e-004	3.574409e+002
8.624461485412793e-004	3.826883e+002
9.123881888142837e-004	4.131994e+002
9.414777873925917e-004	4.276513e+002
9.598712031643197e-004	4.343569e+002
9.726831615725073e-004	4.376684e+002
9.820603040674725e-004	4.393239e+002
9.900233141192649e-004	4.401996e+002
9.975895359296549e-004	4.405720e+002
1.006603843577009e-003	4.404263e+002
1.018248399969585e-003	4.392939e+002
1.037113981742888e-003	4.352699e+002
1.067097133627432e-003	4.238764e+002
1.111934810379744e-003	3.988107e+002
1.162062737546571e-003	3.682031e+002
1.191284429472944e-003	3.536725e+002
1.209741222241711e-003	3.469388e+002
1.222589733756246e-003	3.436173e+002
1.231990836908836e-003	3.419590e+002
1.239936928077251e-003	3.410863e+002
1.247570258775671e-003	3.407132e+002
1.256596673015337e-003	3.408650e+002
1.268236739499162e-003	3.420050e+002
1.287095186453174e-003	3.460397e+002
1.317067789549292e-003	3.574474e+002
1.361893201014069e-003	3.825351e+002
1.412036190156119e-003	4.131916e+002
1.441268667494611e-003	4.277526e+002
1.459730631121203e-003	4.345037e+002
1.472582122710731e-003	4.378365e+002
1.481985178428902e-003	4.395028e+002
1.489929891223180e-003	4.403817e+002
1.497568688623552e-003	4.407611e+002
1.506596088958756e-003	4.406161e+002
1.518235789729067e-003	4.394851e+002
1.537093655526178e-003	4.354650e+002
1.567065399339818e-003	4.240805e+002
1.611889811517220e-003	3.990276e+002
1.662034027177323e-003	3.684081e+002
1.691267383338579e-003	3.538684e+002
1.709729768274243e-003	3.471310e+002
1.722581502658221e-003	3.438077e+002
1.731984717451091e-003	3.421484e+002
1.739929317952166e-003	3.412754e+002
1.747568560708901e-003	3.409018e+002
1.756596041377734e-003	3.410535e+002
1.768235712354654e-003	3.421933e+002
1.787093530806860e-003	3.462276e+002
1.817065204617385e-003	3.576345e+002
1.861889535384687e-003	3.827209e+002
1.912033850962835e-003	4.133782e+002
